Category,Commitment,Party,Status,Updated,Due,References,Tags,LobbyFor,LobbyAgainst,Notes
Health,Allow the sale of cold medication containing pseudoephedrine.,ACT,100,20/05/2024,08/03/2024,https://www.beehive.govt.nz/release/pseudoephedrine-back-shelves,100-day plan,,,
Health,Allow appropriately qualified pharmacists to directly prescribe certain treatments.,ACT,,27/11/2023,,,,,,
Health,"Agree the terms of reference for the statutory requirement to review the End of Life Choice Act 2019 following consultation between the Parties, with any potential future changes to be progressed by way of a member’s bill, recognising this is a conscience issue.",ACT,30,24/06/2026,,https://www.rnz.co.nz/news/what-you-need-to-know/529134/assisted-dying-three-years-on-what-you-need-to-know,,,,MoH statutory review of End of Life Choice Act underway (Act required review by 2024); review report and any member's bill changes still pending.
Health,Examine the Māori and Pacific Admission Scheme (MAPAS) and Otago equivalent to determine ifthey are delivering desired outcomes.,ACT,25,24/06/2026,,https://www.rnz.co.nz/news/in-depth/504971/health-minister-shane-reti-responsible-for-review-of-affirmative-action-scheme-he-graduated-from-in-1980s,,Hobson's Pledge,,MAPAS/equivalent review assigned to Health Minister Reti (Dec 2023) but outcome of review not publicly reported.
Health,"Introduce serious penalties for selling vapes to under 18s, and consider requiring a liquor licence to sell vapes.",ACT,75,24/06/2026,,https://www.rnz.co.nz/news/political/536508/government-pushes-through-changes-to-ban-disposable-vapes-add-restrictions-on-vape-sales,,,,"Smokefree Environments and Regulated Products Amendment Bill (No 2) passed under urgency Dec 2024: penalties for sales to under-18s lifted from $10k to $100k, plus disposable vape ban and visibility/proximity restrictions. Liquor-licence proposal not adopted."
Social Services,"Implement sanctions, including electronic money management, for beneficiaries who can work but refuse to take agreed steps to find a job.",ACT,50,24/06/2024,,https://www.beehive.govt.nz/release/job-seekers-report-progress-after-six-months-today,,,,
Social Services,Develop an approved pool of doctors who can issue medical certificates to go onto a health and disability related benefit.,ACT,,27/11/2023,,,,,,
Social Services,Remove Section 7AA from the Oranga Tamariki Act 1989.,ACT,100,24/06/2026,01/07/2024,https://www.beehive.govt.nz/release/government-puts-children-first-repealing-7aa,Q3 action plan,,,"Bill repealing Section 7AA passed third reading 3 Apr 2025 (68-54), awaiting Royal Assent."
Social Services,Create a truly independent monitoring and oversight agency for Oranga Tamariki.,ACT,100,24/06/2026,,https://www.rnz.co.nz/news/political/565159/legislation-to-improve-independent-monitoring-of-oranga-tamariki-passes-third-reading,,,,Bill passed under urgency 26 Jun 2025: makes Independent Children's Monitor an Independent Crown Entity and reinstates a single Children's Commissioner.
Social Services,Improve the rights and responsibilities of caregivers to give them more autonomy.,ACT,,27/11/2023,,,,,,
Social Services,Increase devolution of care decisions to relevant community organisations.,ACT,,27/11/2023,,,,,,
Public Service,"Immediately issue stop-work notices on several workstreams, including: Three Waters (with assets returned to council ownership), Auckland Light Rail, Let’s Get Wellington Moving, Income Insurance, Industry Transformation Plans, Lake Onslow Pumped Hydro.",ACT,100,05/12/2023,08/03/2024,,100-day plan,Hobson's Pledge,,"ALR, LGWM, and Lake Onslow have been fully cancelled. Three Waters repeal has been announced."
Public Service,"Amend the Public Service Act 2020 to clarify the role of the public service, drive performance, andensure accountability to deliver on the agenda of the government of the day.",ACT,10,24/06/2026,,https://www.rnz.co.nz/news/political/596302/budget-2026-what-has-been-announced-so-far,,,,"Budget 2026 announces 8700-job public sector cut and agency mergers (~$2.4b savings), but no specific Public Service Act 2020 amendment identified."
Democracy,"Ensure government contracts are awarded based on value, without racial discrimination.",ACT,100,13/09/2024,,https://www.nzherald.co.nz/nz/politics/government-tells-public-services-to-deliver-based-on-need-not-race/3WX4KBSKPFE2RLEY32K2XMUYSI/,,Hobson's Pledge,,
Democracy,"Issue a Cabinet Office circular to all central government organisations that it is the Government’s expectation that public services should be prioritised on the basis of need, not race, within the first six months of Government.","ACT, NZ First",100,13/09/2024,27/05/2024,https://www.nzherald.co.nz/nz/politics/government-tells-public-services-to-deliver-based-on-need-not-race/3WX4KBSKPFE2RLEY32K2XMUYSI/,,"Family First, Hobson's Pledge",,Delivered several months late.
Democracy,Repeal the Canterbury Regional Council (Ngāi Tahu Representation) Act 2022.,ACT,10,30/08/2024,,https://www.rnz.co.nz/news/national/526606/local-government-minister-committed-to-removing-iwi-representation-from-canterbury-regional-council,,Hobson's Pledge,,
Democracy,Pass the Constitution (Enabling a 4-Year Term) Amendment Bill through first reading in the first 15 months of the term.,ACT,100,24/06/2026,,https://www.rnz.co.nz/news/political/543151/four-year-parliamentary-term-legislation-to-be-introduced-would-go-to-referendum,,,,"Constitution (Enabling a 4-Year Term) Amendment Bill introduced 27 Feb 2025 (within the 15-month deadline) and debated at first reading in March 2025; Justice Select Committee reported back, awaiting second reading."
Democracy,Introduce a Treaty Principles Bill based on existing ACT policy and support it to a Select Committeeas soon as practicable.,ACT,25,24/06/2026,,https://www.rnz.co.nz/news/political/571904/four-or-three-years-what-you-need-to-know-about-the-push-to-lengthen-parliamentary-terms,,Hobson's Pledge,,Treaty Principles Bill select committee process ran Jan-Sep 2025 (300k+ submissions). Select committee recommended bill not proceed; Government now pursuing 19 targeted Treaty clause amendments instead. No third reading.
Cyclone Gabrielle,Meet with councils and communities to establish regional requirements for recovery from Cyclone Gabrielle and other recent major flooding events.,National,100,05/12/2023,08/03/2024,https://www.nzherald.co.nz/hawkes-bay-today/news/mark-mitchell-in-hawkes-bay-cyclone-hit-regions-to-meet-new-recovery-minister/DCJ53LTG6RFDDNJYHV4I4TIEVE/,100-day plan,,,
Cyclone Gabrielle,Make any additional Orders in Council needed to speed up cyclone and flood recovery efforts.,National,100,05/03/2024,08/03/2024,https://environment.govt.nz/acts-and-regulations/orders-in-council/hawkes-bay-flood-works/,100-day plan,,,
Tax,Introduce legislation to remove the Auckland Fuel Tax.,National,100,06/03/2024,08/03/2024,https://www.beehive.govt.nz/release/auckland-regional-fuel-tax-abolished,100-day plan,,,
Tax,Cancel fuel tax hikes.,National,100,04/03/2024,08/03/2024,https://www.rnz.co.nz/news/political/510815/transport-minister-proposes-fuel-tax-increase-for-2027,100-day plan,,,Fuel tax hikes may still take effect after the next election.
Law & Order,"Introduce legislation to ban gang patches, stop gang members gathering in public, and stop known gang offenders from communicating with one another.",National,100,07/03/2024,08/03/2024,https://www.parliament.nz/en/pb/hansard-debates/rhr/combined/HansDeb_20240307_20240307_56,100-day plan,,,Legislation introduced
Law & Order,Give police greater powers to search gang members for firearms and make gang membership an aggravating factor at sentencing.,National,100,07/03/2024,08/03/2024,https://www.parliament.nz/en/pb/hansard-debates/rhr/combined/HansDeb_20240307_20240307_56,100-day plan,,,Legislation introduced
Law & Order,Stop taxpayer funding for Section 27 cultural reports.,"National, ACT",100,05/12/2023,08/03/2024,https://www.rnz.co.nz/news/political/508585/watch-prime-minister-christopher-luxon-speaks-at-post-cabinet-conference,100-day plan,,,
Law & Order,Introduce legislation to extend eligibility to offence-based rehabilitation programmes to remand prisoners.,National,100,08/03/2024,08/03/2024,https://www.parliament.nz/en/pb/sc/make-a-submission/document/54SCJUST_SCF_7A3E2C51-34CD-4990-96CC-08DB71EF2382/corrections-amendment-bill,100-day plan,,,
Law & Order,Begin work to crack down on serious youth offending.,National,100,05/03/2024,08/03/2024,https://www.beehive.govt.nz/release/govt-cracking-down-serious-youth-offending,100-day plan,,,
Law & Order,Enable more virtual participation in court proceedings.,National,100,07/03/2024,08/03/2024,https://www.parliament.nz/en/pb/hansard-debates/rhr/combined/HansDeb_20240307_20240307_60,100-day plan,,,
Infrastructure,Introduce legislation to repeal the Water Services Entities Act 2022 (Three Waters).,National,100,05/12/2023,08/03/2024,https://twitter.com/chrisluxonmp/status/1757531565775888464,100-day plan,,,
Law & Order,Improve security for the health workforce in hospital emergency departments.,National,100,05/12/2023,08/03/2024,https://www.nzherald.co.nz/nz/hospital-emergency-departments-to-get-200-more-security-guards-for-summer/WC3B4WZ3IFHRBKSMA776PZP47A/,100-day plan,,,
Education,Redesign the English and maths curricula for primary school students.,National,100,05/12/2023,08/03/2024,https://www.beehive.govt.nz/release/first-steps-100-day-plan-education-removing-distractions-and-teaching-basics-brilliantly,100-day plan,,,
Education,Begin disestablishing Te Pukenga.,National,100,07/12/2023,08/03/2024,https://www.beehive.govt.nz/release/disestablishment-te-p%C5%ABkenga-begins,"100-day plan, Action plan",,,
Health,"Set five major targets for health system, including for wait times and cancer treatment.",National,100,08/03/2024,08/03/2024,https://www.beehive.govt.nz/release/health-targets-will-deliver-better-outcomes-new-zealanders,100-day plan,,,
Health,Extend free breast cancer screening to those aged up to 74.,National,100,15/01/2024,08/03/2024,https://www.breastcancerfoundation.org.nz/news-articles/article/exciting-news-the-work-has-started-on-free-screening-for-70-74/799,100-day plan,,,
Social Services,Establish a priority one category on the social housing waitlist to move families out of emergency housing into permanent homes more quickly.,National,100,06/03/2024,08/03/2024,https://www.beehive.govt.nz/release/first-steps-taken-end-emergency-housing,100-day plan,,,
Social Services,"Commission an independent review into Kāinga Ora’s financial situation, procurement, and asset management.",National,100,18/12/2023,08/03/2024,https://www.beehive.govt.nz/release/independent-review-k%C4%81inga-ora-announced,100-day plan,,,
